ICD-10	ICD-10_group	disease_control_number	disease_name
H025		20057499	眼瞼後退症
S002		20084907	眼瞼擦過創
S001		20080045	眼瞼挫傷
S011		20080174	眼瞼挫創
C441		20099299	眼瞼脂腺癌
S011		20080171	眼瞼刺創
D170		20094655	眼瞼脂肪腫
H025		20057506	眼瞼縮小
H029		20057504	眼瞼腫瘤
Z129		20085351	癌検診
D031		20079595	眼瞼上皮内黒色腫
D221		20099326	眼瞼青色母斑
D231		20099899	眼瞼石灰化上皮腫
S002		20057507	眼瞼切創
Q103		20057508	眼瞼先天異常
S011		20057510	眼瞼創傷
B023	H031	20057513	眼瞼帯状疱疹
H028		20057511	眼瞼多毛症
B005	H031	20092712	眼瞼単純ヘルペス
T260		20090983	眼瞼第１度熱傷
T260		20090987	眼瞼第２度熱傷
T260		20090985	眼瞼第３度熱傷
S001		20057512	眼瞼打撲傷
F958		20057470	眼瞼チック
S002		20080057	眼瞼虫刺傷
H020		20057515	眼瞼内反症
D210		20097432	眼瞼乳頭腫
T260		20057517	眼瞼熱傷
H027		20057520	眼瞼白斑
H025		20057546	眼瞼瘢痕
A527	H031	20057519	眼瞼梅毒
S001		20080042	眼瞼皮下血腫
S001		20057523	眼瞼皮下出血
H011		20057525	眼瞼皮膚炎
H023		20057527	眼瞼皮膚弛緩症
D041		20088146	眼瞼皮膚上皮内癌
C441		20057524	眼瞼皮膚の悪性腫瘍
H018		20057467	眼瞼びらん
H028		20057530	眼瞼浮腫
D487		20057533	眼瞼部腫瘍
B023	H031	20057472	眼瞼ヘルペス
Q103		20057535	眼瞼変形
H000		20090358	眼瞼蜂巣炎
D221		20057537	眼瞼母斑
D221		20092022	眼瞼母斑細胞母斑
G514		20101451	眼瞼ミオキミア
L814		20057474	眼瞼メラノーシス
C441		20099817	眼瞼メルケル細胞癌
D231		20101400	眼瞼毛芽腫
B07		20091961	眼瞼疣贅
H025		20057541	眼瞼癒着
H029		20057542	眼瞼良性腫瘤
S011		20057544	眼瞼裂創
H018		20057547	眼瞼瘻孔
A665		20051577	ガンゴサ
F448		20051578	ガンサー症候群
D868		20057314	眼サルコイドーシス
H579		20057408	眼脂
K090		20057284	含歯性のう胞
T265		20057409	眼周囲化学熱傷
T260		20090995	眼周囲第１度熱傷
T260		20090999	眼周囲第２度熱傷
T260		20090997	眼周囲第３度熱傷
S011		20080161	眼周囲部開放創
S011		20080165	眼周囲部割創
S011		20080169	眼周囲部貫通創
S011		20080160	眼周囲部外傷性異物
L810		20080066	眼周囲部外傷性色素沈着
S002		20080064	眼周囲部外傷性腫脹
S002		20080065	眼周囲部外傷性皮下異物
S011		20084928	眼周囲部咬創
S002		20084869	眼周囲部擦過創
S001		20057411	眼周囲部挫傷
S011		20080167	眼周囲部挫創
S011		20080164	眼周囲部刺創
S002		20080163	眼周囲部切創
S011		20080162	眼周囲部創傷
S001		20080047	眼周囲部打撲傷
S002		20080063	眼周囲部虫刺傷
S001		20080043	眼周囲部皮下血腫
S001		20080049	眼周囲部皮下出血
S011		20084955	眼周囲部裂創
Q078		20051586	ガン症候群
H55		20057412	眼振
C809		20057295	癌性悪液質
H55		20057414	眼性眼振
C782		20099596	癌性胸水
C782		20057296	癌性胸膜炎
C798		20057298	癌性心膜炎
R522		20099389	癌性持続痛
G448		20057415	眼性頭痛
R522		20057304	癌性疼痛
R522		20099390	癌性突出痛
C809	G130	20057291	癌性ニューロパチー
C809	G130	20084801	癌性ニューロミオパチー
C809	L984	20100668	がん性皮膚潰瘍
H531		20057419	眼精疲労
C809	D630	20057300	癌性貧血
C786		20057301	癌性腹水
C786		20057302	癌性腹膜炎
G433		20057417	眼性片頭痛
C809	G992	20084837	癌性ミエロパチー
C798		20093632	癌性リンパ管症
L121	H133	20057418	眼性類天疱瘡
B359		20057623	頑癬
R55		20057421	眼前暗黒
S059		20057422	眼損傷
B838		20057423	眼虫症
H571		20057424	眼痛
D180		20057428	眼底血管腫
Q148		20057427	眼底欠損
H356		20057429	眼底出血
H350		20057432	眼底動脈蛇行症
R941		20057435	眼電図異常
B580	H588	20103215	眼トキソプラズマ症
H440		20085352	眼内炎
D487		20057443	眼内腫瘍
H447		20057445	眼内非磁性異物残留
T852		20088811	眼内レンズ亜脱臼
Z961		20057437	眼内レンズ挿入眼
T852		20088813	眼内レンズ脱臼
T852		20057436	眼内レンズの機械的合併症
T852		20088814	眼内レンズ偏位
T264		20057446	眼熱傷
T950		20057447	眼熱傷後遺症
D092		20057309	眼の上皮内癌
P153		20057310	眼の分娩損傷
B872	H588	20057311	眼はえ幼虫症
A527	H588	20057448	眼梅毒
T151		20057449	眼板異物
E703		20057450	眼皮膚白皮症
B560		20051579	ガンビアトリパノソーマ症
S059		20080296	眼部開放創
S011		20080271	眼部割創
S011		20080276	眼部貫通創
S011		20080275	眼部外傷性異物
L810		20080072	眼部外傷性色素沈着
S002		20080070	眼部外傷性腫脹
S002		20080071	眼部外傷性皮下異物
S011		20084888	眼部咬創
S002		20084893	眼部擦過創
S001		20080046	眼部挫傷
S011		20080273	眼部挫創
S011		20080270	眼部刺創
S002		20080269	眼部切創
S011		20080268	眼部創傷
B023	H588	20057452	眼部帯状疱疹
B005		20057453	眼部単純ヘルペス
S001		20057451	眼部打撲傷
S002		20080069	眼部虫刺傷
S001		20080044	眼部皮下血腫
S001		20080041	眼部皮下出血
S011		20084924	眼部裂創
M352	H588	20094870	眼ベーチェット病
E728		20051581	ガンマグルタミン回路障害
C882		20097819	ガンマ重鎖病
B270		20051585	ガンマヘルペスウイルス性単核症
C433		20094447	顔面悪性黒色腫
C760		20057647	顔面悪性腫瘍
S070		20080300	顔面圧挫傷
T819		20057640	顔面アテローム切除後遺症
L239		20057641	顔面アレルギー性皮膚炎
Q825		20096647	顔面いちご状血管腫
C490		20095159	顔面横紋筋肉腫
S018		20093985	顔面汚染創
S018		20057651	顔面開放創
S018		20057653	顔面割創
S018		20080279	顔面貫通創
S018		20080281	顔面外傷性異物
D233		20101406	顔面外毛根鞘腫
Q759		20057654	顔面奇形
C443		20096279	顔面基底細胞癌
L309		20057656	顔面急性皮膚炎
L040		20057655	顔面急性リンパ節炎
Q189		20057658	顔面形成異常
G513		20080763	顔面痙攣
G513		20057745	顔面痙攣症
D170		20099868	顔面血管脂肪腫
D180		20057660	顔面血管腫
G710		20057662	顔面肩甲上腕型筋ジストロフィー
L570		20096488	顔面光線角化症
S018		20084874	顔面咬創
R232		20057663	顔面紅潮
C410		20102773	顔面骨悪性腫瘍
S0291		20085478	顔面骨開放骨折
S0290		20057665	顔面骨骨折
T902		20057666	顔面骨骨折後遺症
D480		20097820	顔面骨腫瘍
M8508		20100007	顔面骨線維性骨異形成症
Q759		20057668	顔面骨先天異常
D164		20057669	顔面骨良性腫瘍
T639		20057670	顔面昆虫螫
S008		20057676	顔面擦過創
S008		20057671	顔面挫傷
L709		20057635	顔面ざ瘡
S018		20057672	顔面挫創
S070		20080280	顔面挫滅傷
S070		20057673	顔面挫滅創
C443		20099303	顔面脂腺癌
D223		20096541	顔面脂腺母斑
S018		20057678	顔面刺創
R482		20057680	顔面失行症
D170		20094657	顔面脂肪腫
L719		20057636	顔面しゅさ
R220		20057681	顔面腫脹
R220		20057683	顔面腫瘤
B369		20057685	顔面真菌性湿疹
G519		20057688	顔面神経障害
D333		20101900	顔面神経鞘腫
S045		20057689	顔面神経損傷
G510		20057692	顔面神経不全麻痺
G510		20057693	顔面神経麻痺
D033		20099391	顔面上皮内黒色腫
L400		20057698	顔面尋常性乾癬
L700		20057697	顔面尋常性ざ瘡
D223		20096543	顔面青色母斑
D233		20099903	顔面石灰化上皮腫
S008		20057700	顔面切創
L020		20057637	顔面せつ
S018		20080277	顔面創傷
S018		20057701	顔面掻創
R231		20057702	顔面蒼白
S099		20057703	顔面損傷
B029		20057709	顔面帯状疱疹
R610		20099068	顔面多汗症
S0271		20090094	顔面多発開放骨折
S017		20080237	顔面多発開放創
S017		20080240	顔面多発割創
S017		20080243	顔面多発貫通創
S017		20084915	顔面多発咬創
S0270		20090091	顔面多発骨折
S007		20084931	顔面多発擦過創
S007		20057704	顔面多発挫傷
S017		20080252	顔面多発挫創
S017		20080239	顔面多発刺創
S007		20080236	顔面多発切創
S017		20080238	顔面多発創傷
S007		20080123	顔面多発打撲傷
S007		20080120	顔面多発虫刺傷
S007		20080122	顔面多発皮下血腫
S007		20080121	顔面多発皮下出血
S017		20084864	顔面多発裂創
Q825		20096624	顔面単純性血管腫
A46		20096731	顔面丹毒
T201		20091007	顔面第１度熱傷
T202		20091011	顔面第２度熱傷
T203		20091009	顔面第３度熱傷
S008		20057708	顔面打撲傷
F958		20057642	顔面チック
R51		20057710	顔面痛
T352		20057711	顔面凍傷
I770		20057712	顔面動静脈瘻
D170		20096466	顔面軟性線維腫
S099		20057713	顔面軟部組織外傷
T200		20057715	顔面熱傷
T950		20057716	顔面熱傷後遺症
L010		20057717	顔面膿痂疹
L011		20057718	顔面膿痂疹性湿疹
L020		20057719	顔面膿瘍
P154		20057638	顔面の分娩損傷
B350		20057721	顔面白癬
M329		20086561	顔面播種状粟粒性狼瘡
Q674		20088816	顔面半側萎縮症
Q674		20088817	顔面半側肥大症
S008		20080141	顔面皮下血腫
D481		20057727	顔面皮下腫瘍
Q670		20057732	顔面非対称
C443		20093098	顔面皮膚癌
S018		20094003	顔面皮膚欠損創
D485		20057730	顔面皮膚腫瘍
D043		20093100	顔面皮膚上皮内癌
D233		20090362	顔面皮膚良性腫瘍
Q825		20096549	顔面表皮母斑
Q388		20088818	顔面鼻咽腔症候群
R600		20057734	顔面浮腫
B001		20057645	顔面ヘルペス
M952		20079994	顔面変形
D223		20092186	顔面扁平母斑
L032		20057739	顔面蜂巣炎
D043		20096417	顔面ボーエン病
D223		20057737	顔面母斑
D223		20092025	顔面母斑細胞母斑
G514		20057646	顔面ミオキミア
C443		20099821	顔面メルケル細胞癌
D233		20101401	顔面毛芽腫
L858		20087396	顔面毛包性紅斑黒皮症
C443		20096181	顔面有棘細胞癌
B07		20091962	顔面疣贅
L020		20057639	顔面よう
C443		20098457	顔面隆起性皮膚線維肉腫
S018		20057744	顔面裂創
A211		20057456	眼野兎病
A328		20057318	眼リンパ節リステリア症
H025		20057458	眼裂異常
H025		20057459	眼裂狭小
A278		20057319	眼レプトスピラ症
M931		20051587	キーンベック病
T702		20057857	気圧性外傷
T700		20057858	気圧性中耳炎
T701		20057859	気圧性副鼻腔炎
E221		20051588	キアリ・フロンメル症候群
Q070		20051590	キアリ奇形第１奇形
Q070		20051591	キアリ奇形第２奇形
Q070		20051592	キアリ奇形第３奇形
Q070		20051593	キアリ奇形第４奇形
I634		20099734	奇異性脳塞栓症
R461		20057789	奇異な外観
R454		20092239	気うつ
O342		20057820	既往子宮術後妊娠
O342		20057821	既往子宮術後分娩
O342		20057823	既往帝切後妊娠
O757		20057824	既往帝切後分娩
R413		20057966	記憶減退
R413		20057967	記憶錯誤
R413		20057968	記憶障害
R413		20057969	記憶喪失
H024		20079811	機械性眼瞼下垂症
L506		20084261	機械性じんま疹
K566		20057833	機械的イレウス
H506		20057834	機械的斜視
O611		20057750	器械的分娩誘発の不成功
D594		20057835	機械的溶血性貧血
T174		20057863	気管異物
S1281		20085498	気管開放骨折
S110		20057866	気管開放創
C33		20057867	気管癌
J40		20057870	気管気管支炎
J980		20057871	気管気管支虚脱
J980		20057868	気管気管支ジスキネジア
J398		20057872	気管狭窄症
A164		20057875	気管結核
Q321		20057874	気管欠損
S1280		20057876	気管骨折
S100		20057877	気管挫傷
S170		20057878	気管挫滅損傷
T175		20057885	気管支異物
J980		20057879	気管支うっ血
J40		20057886	気管支炎
J980		20057903	気管支潰瘍
J47		20057887	気管支拡張症
C349		20096684	気管支カルチノイド
C349		20057888	気管支癌
Q324		20057889	気管支奇形
J980		20084043	気管支狭窄症
Q324		20057891	気管支憩室
J980		20057916	気管支痙攣
A164		20057893	気管支結核
A155		20102549	気管支結核・菌確認あり
A155		20102550	気管支結核・組織学的確認あり
J980		20057894	気管支結石症
Q324		20057892	気管支欠損
R048		20057897	気管支出血
J980		20057899	気管支食道瘻
B488	J998	20057900	気管支真菌症
D022		20057898	気管支上皮内癌
J980		20057901	気管支石灰沈着
D381		20086623	気管支腺腫
J459		20057913	気管支喘息
O995	J459	20099664	気管支喘息合併妊娠
J46		20057914	気管支喘息重積発作
J46		20057915	気管支喘息発作
S274		20057902	気管支損傷
S2741		20088380	気管支損傷・胸腔に達する開放創合併あり
S2740		20088381	気管支損傷・胸腔に達する開放創合併なし
I728		20093668	気管支動脈瘤
T175		20097665	気管支内異物による窒息
J980		20057905	気管支軟化症
J984		20057880	気管支のう胞
P271		20088819	気管支肺異形成症
J180		20057907	気管支肺炎
R848		20057908	気管支肺胞洗浄液異常
Q324		20057909	気管支閉鎖
A202		20057882	気管支ペスト
J980		20057883	気管支ポリープ
J980		20057910	気管支麻痺
J398	K222	20057919	気管食道狭窄
J980		20057920	気管食道瘻
D143		20093627	気管支良性腫瘍
C771		20092009	気管支リンパ節転移
J980		20057912	気管支漏
J980		20057917	気管支瘻
J860		20057918	気管支瘻膿胸
D021		20088160	気管上皮内癌
J950		20057922	気管切開機能障害
Z430		20093617	気管切開口に対する手当て
J950		20079777	気管切開後気管食道瘻
J950		20102639	気管切開後気管腕頭動脈瘻
Z930		20083760	気管切開術後
J950		20079774	気管切開部気道閉塞
J950		20079775	気管切開部出血
J950		20079776	気管切開部敗血症
D142		20086624	気管腺腫
B833		20057923	気管線虫症
S199		20057924	気管損傷
S110		20057925	気管断裂
T174		20097642	気管内異物による窒息
R048		20057927	気管内出血
Z418		20103105	気管内挿管時の口腔内装置必要状態
T884		20080618	気管内挿管不成功
J398		20057928	気管内肉芽腫
J398		20057929	気管軟化症
Q321		20057930	気管軟骨異常
D142		20097433	気管乳頭腫
T270		20057931	気管熱傷
T274		20057932	気管腐蝕
Q321		20057933	気管閉鎖症
J398		20057936	気管瘤
D142		20057934	気管良性腫瘍
S110		20057935	気管裂傷
Q321		20057937	気管瘻
T730		20057992	飢餓
I494		20057829	期外収縮
I494		20057830	期外収縮性不整脈
R509		20057994	飢餓熱
R53		20092240	気虚
J939		20057938	気胸
R688		20092241	気逆
Q899		20057791	奇形
K005		20057793	奇形歯
D489		20057796	奇形腫
Q897		20057794	奇形児
O663		20057795	奇形児分娩
R688		20092242	気血両虚
E798		20051596	キサンチン尿症
R060		20057974	起坐呼吸
N484		20057755	器質性インポテンス
F063		20080674	器質性うつ病性障害
F065		20057756	器質性解離性障害
F063		20080671	器質性気分障害
F061		20057759	器質性緊張病性障害
F070		20080679	器質性偽精神病質性人格
F070		20080680	器質性偽遅滞性人格
F04		20080667	器質性健忘症候群・精神作用物質によらないもの
N945		20057760	器質性月経困難症
F060		20057761	器質性幻覚症
R471		20100732	器質性構音障害
F063		20080675	器質性混合性感情障害
R011		20057762	器質性心雑音
F066		20080677	器質性情緒不安定性障害
F078		20080683	器質性人格行動障害
R31		20057765	器質性性器出血
F069		20057767	器質性精神障害
F079		20057766	器質性精神症状群
F09		20057768	器質性精神病
F063		20080673	器質性双極性障害
F063		20080672	器質性躁病性障害
H919		20057769	器質性難聴
F069		20057772	器質性脳症候群
F062		20057753	器質性の妄想状態および幻覚妄想状態
F070		20094407	器質性パーソナリティ障害
F064		20057773	器質性不安障害
H818		20057754	器質性めまい
F062		20080669	器質性妄想性障害
R829		20057818	希釈尿
J448		20102242	気腫型慢性閉塞性気管支炎
J448		20102240	気腫型慢性閉塞性肺疾患
I319		20057942	気腫性心膜炎
N10		20057943	気腫性腎盂腎炎
J439		20057945	気腫性肺のう胞
T522		20051598	キシレン中毒
S258		20057797	奇静脈損傷
Q331		20057798	奇静脈肺葉
I868		20102481	奇静脈瘤
B89		20057801	寄生虫症
B89	H623	20057802	寄生虫症性外耳炎
B89	K770	20057804	寄生虫性肝疾患
H213		20057808	寄生虫性虹彩のう胞
K862		20057815	寄生虫性膵のう胞
H213		20057805	寄生虫性前房のう胞
B89	D638	20057810	寄生虫性貧血
H331		20057813	寄生虫性網膜のう胞
H213		20057811	寄生虫性毛様体のう胞
H101		20098980	季節性アレルギー性結膜炎
J302		20057962	季節性アレルギー性鼻炎
R948		20057784	基礎代謝率異常
A772		20076144	北アジアだに熱
R688		20092243	気滞
O329		20057826	既知の胎位異常あるいはその疑いのための母体管理
O339		20057827	既知の胎児骨盤不均衡またはその疑いのための母体管理
O349		20057828	既知の母体骨盤臓器の異常またはその疑いのための母体管理
J410		20058090	喫煙者気管支炎
F985		20058089	吃音症
G378		20101039	基底核および小脳萎縮を伴う髄鞘形成不全症
Q283		20095439	基底核部海綿状血管腫
Q283		20095440	基底核部静脈性血管腫
S063		20057785	基底核部脳損傷
S0631		20088378	基底核部脳損傷・頭蓋内に達する開放創合併あり
S0630		20088379	基底核部脳損傷・頭蓋内に達する開放創合併なし
G239		20057786	基底核変性症
C449		20057787	基底細胞癌
Q859		20086636	基底細胞母斑症候群
N481		20057997	亀頭炎
N485		20058000	亀頭部潰瘍
N488		20057999	亀頭部腫瘤
Q540		20058001	亀頭部尿道下裂
N485		20057998	亀頭部びらん
N481		20058002	亀頭包皮炎
N47		20058003	亀頭包皮癒着症
J988		20057949	気道狭窄
R049		20057950	気道出血
S279		20057951	気道損傷
S2791		20088382	気道損傷・胸腔に達する開放創合併あり
S2790		20088383	気道損傷・胸腔に達する開放創合併なし
T179		20057952	気道内異物
T179		20097711	気道内異物による窒息
T273		20057953	気道熱傷
J683		20057954	気道反応不全症候群
T277		20057955	気道腐蝕
J988		20057956	気道閉塞
G938		20057957	気脳症
K319		20057852	機能性嘔吐
N944		20057840	機能性月経困難症
K591		20057839	機能性下痢
F800		20057841	機能性構音障害
N921		20057842	機能性子宮出血
R010		20057843	機能性収縮期雑音
R010		20057844	機能性心雑音
N979		20102099	機能性女性不妊症
R31		20057847	機能性性器出血
R80		20057848	機能性蛋白尿
N46		20102100	機能性男性不妊症
K30		20098949	機能性ディスペプシア
K590		20099113	機能性便秘症
N912		20057851	機能性無月経
N938		20057853	機能低下性子宮出血
T888		20087989	機能的顎矯正装置破損
T888		20086991	機能的顎矯正装置不適合
K311		20057854	機能的幽門狭窄
J675		20050493	きのこ作業者肺
T620		20050494	きのこ中毒
N915		20057819	希発月経
F180		20092454	揮発性溶剤使用による急性精神・行動障害
F39		20057958	気分異常
F340		20057959	気分循環症
F341		20080713	気分変調症
D219		20092716	木村病
R413		20057972	記銘力低下
Q990		20051600	キメラ４６ＸＸ
I454		20058091	脚ブロック
A982		20051602	キャサヌール森林病
D477		20086612	キャッスルマン病
O814		20058119	吸引分娩
P033		20058120	吸引分娩による新生児の障害
R431		20078185	嗅覚異常
R431		20078186	嗅覚過敏
R431		20078187	嗅覚減弱
R431		20078191	嗅覚障害
R430		20085285	嗅覚脱失
R438		20093537	嗅覚味覚障害
D320		20088704	嗅窩髄膜腫
Q658		20098142	臼蓋形成不全
T888		20094506	旧義歯破損
T888		20096716	旧義歯不適合
D320		20078194	嗅溝部髄膜腫
S054		20058705	球後異物
K001		20054803	臼後歯
H46		20058706	球後視神経炎
C062		20054805	臼後部癌
D103		20088032	臼後部良性腫瘍
O623		20058132	急産
L650		20058115	休止期性脱毛
K072		20054806	臼歯部開咬
K072		20054807	臼歯部交叉咬合
K909		20058122	吸収不良症候群
D518		20058123	吸収不良症候群によるビタミンＢ１２欠乏性貧血
Q764		20058133	急峻腰仙角
R238		20082715	丘疹
C300		20078196	嗅神経芽腫
D433		20078197	嗅神経腫瘍
G520		20078198	嗅神経障害
C300		20078199	嗅神経上皮腫
S048		20078200	嗅神経損傷
G520		20078201	嗅神経麻痺
L538		20097436	丘疹紅皮症
L538		20058112	丘疹状紅斑
L309		20058113	丘疹状湿疹
L282		20084253	丘疹状じんま疹
H534		20058698	求心性視野狭窄
G548		20058699	求心路遮断痛
H534		20058127	弓状暗点
Q518		20058128	弓状子宮
K091		20058709	球状上顎のう胞
Q124		20058711	球状水晶体症
J9600		20102500	急性１型呼吸不全
J9601		20102509	急性２型呼吸不全
B150		20086074	急性Ａ型肝炎・肝性昏睡合併あり
B162		20086075	急性Ｂ型肝炎・肝性昏睡合併あり
B230		20058136	急性ＨＩＶ感染症候群
J039		20058147	急性アデノイド咽頭炎
J039		20058148	急性アデノイド扁桃炎
A060		20058150	急性アメーバ症
A060		20058151	急性アメーバ赤痢
K701		20058153	急性アルコール性肝炎
K704		20058154	急性アルコール性肝不全
F100		20058155	急性アルコール中毒
H651		20058158	急性アレルギー性中耳炎
K291		20058201	急性胃炎
K253		20058208	急性胃潰瘍
K251		20058209	急性胃潰瘍穿孔
K310		20058202	急性胃拡張
R402		20058200	急性意識障害
T860		20095724	急性移植片対宿主病
K040		20058215	急性一部性化膿性歯髄炎
K040		20089128	急性一部性単純性歯髄炎
A099		20058206	急性胃腸炎
K319		20058207	急性胃腸障害
F239		20058214	急性一過性精神病性障害
K250		20058210	急性胃粘膜病変
J029		20058220	急性咽頭炎
J060		20058223	急性咽頭喉頭炎
J068		20058225	急性咽頭扁桃炎
J118	I411	20058160	急性インフルエンザ心筋炎
B179		20058162	急性ウイルス性肝炎
I212		20088384	急性右室梗塞
R270		20058227	急性運動失調
K358		20058265	急性壊死性虫垂炎
G934	B99	20101448	急性壊死性脳症
J040		20058269	急性壊疽性喉頭炎
K040		20058270	急性壊疽性歯髄炎
K358		20058271	急性壊疽性虫垂炎
J039		20058272	急性壊疽性扁桃炎
H404		20058230	急性炎症性緑内障
S092		20058234	急性音響性外傷
M8969		20058276	急性灰白髄炎後骨障害
J040		20058539	急性潰瘍性喉頭炎
K518		20058541	急性潰瘍性大腸炎
J039		20058542	急性潰瘍性扁桃炎
H162		20058282	急性角結膜炎
H169		20058283	急性角膜炎
I211		20058236	急性下後壁心筋梗塞
I211		20058237	急性下側壁心筋梗塞
J041		20058164	急性カタル性気管炎
K358		20058167	急性カタル性虫垂炎
J029		20058241	急性化膿性咽頭炎
K102		20058242	急性化膿性下顎骨炎
H603		20058243	急性化膿性外耳炎
K112		20058244	急性化膿性顎下腺炎
M8616		20058263	急性化膿性脛骨骨髄炎
E060		20058245	急性化膿性甲状腺炎
M8619		20058246	急性化膿性骨髄炎
K044		20088385	急性化膿性根尖性歯周炎
K044		20058248	急性化膿性歯根膜炎
K040		20058249	急性化膿性歯髄炎
K112		20058250	急性化膿性耳下腺炎
K102		20058251	急性化膿性上顎骨炎
K830		20058254	急性化膿性胆管炎
K810		20079418	急性化膿性胆のう炎
H660		20058256	急性化膿性中耳炎
K358		20058257	急性化膿性虫垂炎
K044		20058260	急性化膿性辺縁性歯根膜炎
J039		20058261	急性化膿性扁桃炎
L049		20058240	急性化膿性リンパ節炎
I211		20058238	急性下壁心筋梗塞
K720		20058295	急性肝萎縮
B179		20058296	急性肝炎
E802		20058301	急性間欠性ポルフィリン症
J841		20058303	急性間質性肺炎
I249		20096062	急性冠症候群
M1399		20058304	急性関節炎
F058		20058288	急性感染症性精神病
I330		20058291	急性感染性心内膜炎
K720		20058299	急性肝不全
K720		20103613	急性肝不全・昏睡型
I213		20058300	急性貫壁性心筋梗塞
N760		20058279	急性外陰腟炎
H605		20058280	急性外耳炎
K076		20088388	急性顎関節炎
K102		20087126	急性顎骨骨髄炎
K102		20058285	急性顎骨骨膜炎
H050		20058305	急性眼窩うっ血
H050		20058306	急性眼窩炎
J041		20058312	急性気管炎
J209		20058313	急性気管気管支炎
J209		20058314	急性気管支炎
F058		20058309	急性器質精神症候群
F058		20058308	急性器質性反応
E871		20058311	急性希釈性低ナトリウム血症
K810		20079420	急性気腫性胆のう炎
I212		20058310	急性基部側壁心筋梗塞
R091		20058326	急性胸膜炎
C942		20058322	急性巨核芽球性白血病
T783		20058327	急性局所性浮腫
I249		20058324	急性虚血性心疾患
K550		20095011	急性虚血性大腸炎
T869		20058323	急性拒絶反応
M6099		20058328	急性筋炎
B370		20058319	急性偽膜性カンジダ症
M8616		20058675	急性脛骨骨髄炎
R252		20058670	急性痙攣
J050		20058671	急性痙攣性喉頭気管炎
M8606		20102103	急性血行性脛骨骨髄炎
M8609		20058334	急性血行性骨髄炎
M8605		20102104	急性血行性大腿骨骨髄炎
H651		20058335	急性血性中耳炎
H103		20058333	急性結膜炎
K510		20094659	急性激症型潰瘍性大腸炎
K650		20058337	急性限局性腹膜炎
I212		20058368	急性高位側壁心筋梗塞
J068		20058352	急性口蓋扁桃炎
I212		20058345	急性後基部心筋梗塞
H200		20058547	急性虹彩炎
H200		20058548	急性虹彩毛様体炎
J82		20058362	急性好酸球性肺炎
E060		20058364	急性甲状腺炎
H605		20058350	急性光線性外耳炎
I212		20058346	急性後側部心筋梗塞
J040		20058355	急性喉頭炎
J051		20058356	急性喉頭蓋炎
J387		20058357	急性喉頭蓋膿瘍
J042		20058358	急性喉頭気管炎
J209		20058359	急性喉頭気管気管支炎
I210		20097438	急性広範前壁心筋梗塞
K550		20058363	急性広範腸壊死
H355		20058347	急性後部多発性斑状色素上皮症
I212		20058348	急性後壁心筋梗塞
I212		20058349	急性後壁中隔心筋梗塞
S065		20058365	急性硬膜下血腫
S0651		20088389	急性硬膜下血腫・頭蓋内に達する開放創合併あり
S0650		20088390	急性硬膜下血腫・頭蓋内に達する開放創合併なし
S064		20058367	急性硬膜外血腫
S0641		20088391	急性硬膜外血腫・頭蓋内に達する開放創合併あり
S0640		20088392	急性硬膜外血腫・頭蓋内に達する開放創合併なし
J22		20058338	急性呼吸器感染症
J80		20090366	急性呼吸窮迫症候群
J9609		20058340	急性呼吸不全
H730		20058343	急性鼓室炎
M8619		20058372	急性骨髄炎
C920		20058373	急性骨髄性白血病
C920		20103388	急性骨髄性白血病・最未分化型
C944		20058374	急性骨髄線維症
C925		20058375	急性骨髄単球性白血病
N733		20058376	急性骨盤腹膜炎
H730		20058344	急性鼓膜炎
K044		20058379	急性根尖性歯周炎
J219		20058382	急性細気管支炎
I330		20058383	急性細菌性心内膜炎
I301		20058384	急性細菌性心膜炎
G009		20058385	急性細菌性髄膜炎
N410		20094182	急性細菌性前立腺炎
F058		20058388	急性錯乱状態
G040		20058389	急性散在性脳脊髄炎
H001		20058682	急性霰粒腫
K052		20058397	急性歯冠周囲炎
N009		20058393	急性糸球体腎炎
N710		20058390	急性子宮内膜炎
N730		20058391	急性子宮傍結合織炎
N710		20099050	急性子宮留膿症
J012		20058673	急性篩骨洞炎
K052		20058399	急性歯周炎
H46		20058394	急性視神経炎
K040		20058401	急性歯髄炎
K103		20058402	急性歯槽骨炎
K047		20058403	急性歯槽膿瘍
D62		20058413	急性失血性貧血
L309		20058414	急性湿疹
H605		20058415	急性湿疹性外耳炎
K050		20058404	急性歯肉炎
B571		20058169	急性シャガス病
B570	I412	20058170	急性シャガス病性心筋炎
B570	I981	20058171	急性シャガス病性心血管障害
K859		20058419	急性出血壊死性膵炎
K250		20058422	急性出血性胃潰瘍
K252		20093089	急性出血性胃潰瘍穿孔
B303	H131	20058423	急性出血性結膜炎
K260		20093102	急性出血性十二指腸潰瘍
K262		20093088	急性出血性十二指腸潰瘍穿孔
G361		20058425	急性出血性白質脳炎
N300		20058426	急性出血性膀胱炎
H651		20058662	急性漿液ムチン性中耳炎
R101		20058433	急性消化不良症
K550		20058430	急性小腸虚血
G048		20058431	急性小脳性失調症
R579		20058172	急性ショック
H549		20058396	急性視力障害
I409		20058442	急性心筋炎
I219		20083957	急性心筋梗塞
I234		20058452	急性心筋梗塞後腱索断裂
I232		20058444	急性心筋梗塞後心室中隔穿孔
I236		20084100	急性心筋梗塞後心室内血栓症
I233		20058446	急性心筋梗塞後心破裂
I231		20058447	急性心筋梗塞後心房中隔穿孔
I236		20084091	急性心筋梗塞後心房内血栓症
